Comunidad autónoma,Grupo,Año,Mes,IPC
Cantabria,Transporte,2020,Marzo,108.251
Cantabria,Transporte,2020,Febrero,112.231
Cantabria,Transporte,2020,Enero,113.443
Cantabria,Comunicaciones,2020,Mayo,106.562
Cantabria,Comunicaciones,2020,Abril,106.646
Cantabria,Comunicaciones,2020,Marzo,106.816
Cantabria,Comunicaciones,2020,Febrero,105.454
Cantabria,Comunicaciones,2020,Enero,105.41
Cantabria,Ocio y cultura,2020,Mayo,96.602
Cantabria,Ocio y cultura,2020,Abril,98.598
Cantabria,Ocio y cultura,2020,Marzo,97.737
Cantabria,Ocio y cultura,2020,Febrero,97.561
Cantabria,Ocio y cultura,2020,Enero,96.851
Cantabria,Enseñanza,2020,Mayo,102.509
Cantabria,Enseñanza,2020,Abril,102.479
Cantabria,Enseñanza,2020,Marzo,102.469
Cantabria,Enseñanza,2020,Febrero,102.469
Cantabria,Enseñanza,2020,Enero,102.463
Cantabria,Restaurantes y hoteles,2020,Mayo,107.55
Cantabria,Restaurantes y hoteles,2020,Abril,107.128
Cantabria,Restaurantes y hoteles,2020,Marzo,106.49
Cantabria,Restaurantes y hoteles,2020,Febrero,106.252
Cantabria,Restaurantes y hoteles,2020,Enero,106.101
Cantabria,Otros bienes y servicios ,2020,Mayo,104.204
Cantabria,Otros bienes y servicios ,2020,Abril,104.253
Cantabria,Otros bienes y servicios ,2020,Marzo,103.678
Cantabria,Otros bienes y servicios ,2020,Febrero,103.742
Cantabria,Otros bienes y servicios ,2020,Enero,102.456
Castilla y León,Alimentos y bebidas no alcohólicas,2020,Mayo,107.402
Castilla y León,Alimentos y bebidas no alcohólicas,2020,Abril,107.406
Castilla y León,Alimentos y bebidas no alcohólicas,2020,Marzo,105.91
Castilla y León,Alimentos y bebidas no alcohólicas,2020,Febrero,105.773
Castilla y León,Alimentos y bebidas no alcohólicas,2020,Enero,105.516
Castilla y León,Bebidas alcohólicas y tabaco,2020,Mayo,104.857
Castilla y León,Bebidas alcohólicas y tabaco,2020,Abril,104.741
Castilla y León,Bebidas alcohólicas y tabaco,2020,Marzo,104.612
Castilla y León,Bebidas alcohólicas y tabaco,2020,Febrero,104.592
Castilla y León,Bebidas alcohólicas y tabaco,2020,Enero,103.837
Castilla y León,Vestido y calzado,2020,Mayo,109.456
Castilla y León,Vestido y calzado,2020,Abril,106.846
Castilla y León,Vestido y calzado,2020,Marzo,97.691
Castilla y León,Vestido y calzado,2020,Febrero,93.837
Castilla y León,Vestido y calzado,2020,Enero,95.105
Castilla y León,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Mayo,96.836
Castilla y León,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Abril,97.13
Castilla y León,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Marzo,100.308
Castilla y León,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Febrero,103.334
Castilla y León,"Vivienda, agua, electricidad, gas y otros combustibles",2020,Enero,105.118
Castilla y León,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Mayo,101.762
Castilla y León,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Abril,101.587
Castilla y León,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Marzo,101.098
Castilla y León,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Febrero,100.967
Castilla y León,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",2020,Enero,100.56
Castilla y León,Sanidad,2020,Mayo,102.212
Castilla y León,Sanidad,2020,Abril,102.292
Castilla y León,Sanidad,2020,Marzo,102.25
Castilla y León,Sanidad,2020,Febrero,102.09
Castilla y León,Sanidad,2020,Enero,102.042
Castilla y León,Transporte,2020,Mayo,103.333
Castilla y León,Transporte,2020,Abril,104.131
Castilla y León,Transporte,2020,Marzo,107.636
Castilla y León,Transporte,2020,Febrero,111.239
Castilla y León,Transporte,2020,Enero,112.252
Castilla y León,Comunicaciones,2020,Mayo,105.011
Castilla y León,Comunicaciones,2020,Abril,105.13
Castilla y León,Comunicaciones,2020,Marzo,105.301
Castilla y León,Comunicaciones,2020,Febrero,104.028
Castilla y León,Comunicaciones,2020,Enero,104.038
Castilla y León,Ocio y cultura,2020,Mayo,98.602
Castilla y León,Ocio y cultura,2020,Abril,100.182
Castilla y León,Ocio y cultura,2020,Marzo,99.364
Castilla y León,Ocio y cultura,2020,Febrero,99.692
Castilla y León,Ocio y cultura,2020,Enero,99.294
Castilla y León,Enseñanza,2020,Mayo,100.416
Castilla y León,Enseñanza,2020,Abril,100.416
Castilla y León,Enseñanza,2020,Marzo,100.406
Castilla y León,Enseñanza,2020,Febrero,100.406
Castilla y León,Enseñanza,2020,Enero,100.406
Castilla y León,Restaurantes y hoteles,2020,Mayo,107.942
